The intermediate results:
Round 1: 64443,5,14,5
Round 2: 128891,6,30,3
Round 3: 193339,6,46,1
Round 4: 257774,4,72,2
Round 5: 322215,3,96,1

The clustering results:
0,7
1,8
2,1
3,9
4,6
5,6
6,4
7,2
8,6
9,6
10,7
11,6
12,7
13,2
14,9
15,1
16,7
17,6
18,0
19,9
20,3
21,3
22,9
23,6
24,7
25,4
26,3
27,2
28,8
29,0
30,1
31,0
32,2
33,2
34,8
35,9
36,0
37,8
38,6
39,1
40,1
41,1
42,4
43,3
44,1
45,6
46,9
47,6
48,4
49,4
50,2
51,0
52,9
53,7
54,2
55,5
56,0
57,6
58,2
59,6
60,2
61,9
62,0
63,9
64,1
65,5
66,9
67,8
68,8
69,6
70,3
71,5
72,8
73,2
74,5
75,6
76,6
77,6
78,2
79,2
80,3
81,2
82,8
83,1
84,9
85,2
86,0
87,9
88,3
89,5
90,6
91,7
92,3
93,4
94,3
95,3
96,0
97,3
98,1
99,1
100,6
101,0
102,9
103,2
104,2
105,9
106,9
107,6
108,8
109,2
110,8
111,1
112,8
113,4
114,2
115,2
116,0
117,8
118,9
119,7
120,5
121,6
122,8
123,0
124,4
125,8
126,0
127,8
128,6
129,9
130,1
131,2
132,6
133,9
134,6
135,4
136,2
137,2
138,2
139,4
140,1
141,9
142,1
143,4
144,8
145,0
146,8
147,7
148,2
149,9
150,3
151,6
152,2
153,2
154,2
155,2
156,1
157,8
158,1
159,2
160,3
161,5
162,5
163,5
164,2
165,8
166,0
167,3
168,6
169,6
170,0
171,4
172,1
173,6
174,0
175,4
176,8
177,0
178,7
179,3
180,7
181,4
182,3
183,4
184,1
185,5
186,2
187,8
188,4
189,9
190,1
191,7
192,2
193,8
194,1
195,1
196,3
197,4
198,6
199,7
200,0
201,0
202,0
203,0
204,5
205,6
206,7
207,4
208,6
209,9
210,5
211,4
212,3
213,7
214,7
215,8
216,7
217,6
218,2
219,1
220,0
221,0
222,7
223,7
224,0
225,0
226,8
227,3
228,4
229,0
230,7
231,8
232,7
233,2
234,6
235,6
236,2
237,9
238,9
239,8
240,2
241,3
242,7
243,9
244,6
245,8
246,9
247,9
248,6
249,6
250,3
251,6
252,8
253,2
254,1
255,8
256,0
257,6
258,8
259,1
260,2
261,5
262,9
263,2
264,4
265,5
266,0
267,9
268,6
269,6
270,4
271,6
272,3
273,5
274,4
275,3
276,6
277,2
278,1
279,8
280,1
281,1
282,4
283,9
284,8
285,3
286,2
287,6
288,0
289,6
290,4
291,3
292,9
293,5
294,0
295,4
296,9
297,0
298,9
299,8
300,9
301,5
302,1
303,1
304,5
305,8
306,1
307,3
308,4
309,4
310,9
311,2
312,3
313,6
314,6
315,8
316,1
317,9
318,0
319,3
320,1
321,7
322,5
323,0
324,0
325,4
326,8
327,5
328,2
329,3
330,3
331,9
332,1
333,2
334,4
335,1
336,9
337,8
338,0
339,4
340,0
341,5
342,0
343,5
344,5
345,8
346,6
347,9
348,9
349,4
350,9
351,2
352,9
353,4
354,0
355,5
356,8
357,9
358,5
359,5
360,6
361,4
362,1
363,6
364,4
365,6
366,4
367,8
368,2
369,6
370,5
371,9
372,0
373,2
374,6
375,8
376,3
377,5
378,7
379,6
380,3
381,9
382,4
383,8
384,1
385,8
386,5
387,0
388,2
389,6
390,2
391,6
392,1
393,4
394,0
395,2
396,0
397,1
398,4
399,4
400,2
401,6
402,1
403,4
404,9
405,5
406,6
407,3
408,8
409,2
410,0
411,1
412,6
413,6
414,3
415,0
416,2
417,5
418,0
419,5
420,2
421,8
422,6
423,7
424,8
425,6
426,6
427,7
428,7
429,4
430,1
431,7
432,9
433,1
434,9
